text,Emotion_Label
@latifaalnaff3 لا ، معي ٨ كلاب ماعندي مكان وبمسك خط فيهم للدمام )؛,['No emotions']
@AydaNews الله يلع؛ ـْكم يا كذبكم.😁😂,"['Anger', 'Disgust']"
@ittfc30 كل مامسك كورة طاح ولا لعبه كملها مستوى عالي قلك,['Disgust']
@RaymondFHakim هذا الخSيس اختصاصه تدمير المسلمين فقط الله يورينا فيه عجائب قدرته الله يجعله يطلب الموت ومايلاقيه,"['Anger', 'Disgust']"
@9NFCBALL ماهو انت فقط يا شراحيلي غبرك كثير,['Disgust']
@MoaElshamy ما انت منتفع من ولاد مرتضى فلازم تقول كده ....,['Disgust']
قدموا أدلة أو اخرسوا.. صحفي أمريكي يضع الإعلام الغربي أمام خيار صعب https://t.co/nm5JhgOLdb,['Trust']
#الشريف_مرتضي_منصوووور لما البنت الخجولة تبقى جريئة معاك .... اعرف انها بتخاطر و بتراهن عليك ... لو انت حمار هتفتكر انها سهلة ... لو انت ذكى هتعرف أن هى دى جرأة الحب !!! mLH,['No emotions']
@hussinalezzi5 لايمكن ان تزرعوا الفتنة.بين اليمنيين.. انتم راس الفتنة وراس الافعئ. ولابد من استئصالها.. وبعدين لكل حادث حديث.,"['Disgust', 'Trust']"
@rovthv ستان الشايب تتكلم عن ثقالة الدم و نسخ شخصيات الناس ؟ ستان أكثر شخص مو مقبول فالفرقة و ستان أكثر شخص عالة على الفرقة تتكلم على تاي ...,['Disgust']
ههههههه يمسح جوخ القرار حازم وحاسم فديت روحك حبيب الشعب محمد بن سلمان https://t.co/tCIRRORZzR,"['Love', 'Disgust']"
@gorgeous4ew قال وش دراك انها كذبه قال من كبرها لحول,['Disgust']
ابي موجب نحيف انا سالب مربرب ناعم تعال خاص بصورك #موجب_مكة_سالب_مكة_مبادل_مكة,['No emotions']
@mimoahmes860 يعم طالعين يقولو المتزملكين فرحنين بحبس مرتضي 😂😂,['Disgust']
@Abdul__Karim_ نص صاروخ لانها اسمها دويله وليسى دوله,['Disgust']
RT @Katheri14833867: ؤسيسبربثيؤ مستبعد الحمار على الديك بعد النوم 📍#seٍ͎xٍ͎y 📍#سَُــكَُـسَُ 📍#سكُُس_عرُُُبي😂,['No emotions']
الارخم ولد الارخم بعير فنجال قعـود سطام بن عون ( ابوه باتلي وامه عونيـه ) https://t.co/AnmmdN8yyZ,['No emotions']
#مرتضي_منصور @AlsisiOfficial يا سيادة الرئيس سجن المستشار مرتضي منصور الغرض منه تدمير لكيان نادي الزمالك ويجيبه واحد ذو شخصية ضعيفة يقسط قضية كهرباء هل هذا يصح الرجاء التدخل ووقف هذه المسرحية الهزلية جمهور الزمالك محترم ومش بيحرق اتحاد الكورة,"['Love', 'Anticipation']"
